reading_number,z_value,event_type
1,0.987,normal
2,1.0039,normal
3,0.9839,normal
4,1.0111,normal
5,1.0158,normal
6,0.9812,normal
7,0.9802,normal
8,1.0196,normal
9,0.9984,normal
10,1.0025,normal
11,1.0079,normal
12,0.9833,normal
13,0.9816,normal
14,0.9908,normal
15,1.0061,normal
16,0.9885,normal
17,1.0013,normal
18,1.0,normal
19,0.9875,normal
20,1.0005,normal
21,2.8113,pothole
22,2.8083,pothole
23,0.2899,pothole
24,1.4153,pothole
25,1.1137,pothole
26,0.9868,pothole
27,1.0048,pothole
28,0.9877,normal
29,0.9935,normal
30,0.9976,normal
31,0.995,normal
32,0.9824,normal
33,0.9826,normal
34,1.2984,speed_bump
35,1.2846,speed_bump
36,1.2891,speed_bump
37,1.7903,speed_bump
38,1.7988,speed_bump
39,1.5095,speed_bump
40,1.5199,speed_bump
41,1.2147,speed_bump
42,1.1891,speed_bump
43,0.9817,speed_bump
44,0.9993,speed_bump
45,1.0042,normal
46,0.9979,normal
47,0.9853,normal
48,0.9903,normal
49,0.9968,normal
50,0.9801,normal
51,1.0001,normal
52,0.9819,normal
53,1.0061,normal
54,1.0157,normal
55,0.9997,normal
56,1.007,normal
57,1.0161,normal
58,0.9898,normal
59,1.0196,normal
60,1.0044,normal
61,0.9946,normal
62,1.0062,normal
63,0.9963,normal
64,1.0115,normal
65,0.9944,normal
66,1.0084,normal
67,1.0189,normal
68,0.9996,normal
69,1.0133,normal
70,1.0198,normal
71,0.9959,normal
72,0.9899,normal
73,0.9973,normal
74,0.9831,normal
75,0.986,normal
76,1.0148,normal
77,0.9942,normal
78,1.0132,normal
79,1.0061,normal
80,0.9977,normal
81,0.9952,normal
82,0.9938,normal
83,1.0054,normal
84,0.986,normal
85,1.009,normal
86,0.9985,normal
87,1.0054,normal
88,0.9885,normal
89,1.0136,normal
90,0.9987,normal
91,1.0184,normal
92,1.018,normal
93,1.0022,normal
94,1.01,normal
95,0.9869,normal
96,0.988,normal
97,0.9855,normal
98,1.0165,normal
99,0.9843,normal
100,0.9991,normal
101,1.0161,normal
102,1.0124,normal
103,0.9881,normal
104,2.7854,pothole
105,2.783,pothole
106,0.3193,pothole
107,1.396,pothole
108,1.0948,pothole
109,1.018,pothole
110,0.9912,pothole
111,1.0073,normal
112,0.9896,normal
113,1.0172,normal
114,1.0183,normal
115,0.9808,normal
116,1.0155,normal
117,0.9987,normal
118,1.0192,normal
119,0.9812,normal
120,1.0174,normal
121,0.9824,normal
122,1.0098,normal
123,0.9883,normal
124,1.0085,normal
125,0.9808,normal
126,0.9844,normal
127,1.0032,normal
128,0.9915,normal
129,1.0145,normal
130,0.9985,normal
131,1.0126,normal
132,1.0162,normal
133,0.9904,normal
134,1.0018,normal
135,1.0172,normal
136,0.9952,normal
137,1.0151,normal
138,0.9821,normal
139,0.9884,normal
140,1.0133,normal
141,0.9907,normal
142,0.984,normal
143,0.9928,normal
144,0.9922,normal
145,0.9831,normal
146,1.0033,normal
147,1.0022,normal
148,0.9903,normal
149,0.998,normal
150,0.9916,normal
151,0.9897,normal
152,1.0165,normal
153,1.0078,normal
154,0.9967,normal
155,0.9878,normal
156,1.0132,normal
157,0.9908,normal
158,1.0061,normal
159,1.0079,normal
160,0.9937,normal
161,0.9891,normal
162,1.0192,normal
163,1.0053,normal
164,1.0031,normal
165,0.9989,normal
166,1.0179,normal
167,1.0164,normal
168,0.9932,normal
169,0.9812,normal
170,0.9882,normal
171,1.0103,normal
172,0.9965,normal
173,0.9842,normal
174,0.9868,normal
175,1.0032,normal
176,1.0123,normal
177,0.9893,normal
178,1.0062,normal
179,0.9969,normal
180,1.0192,normal
181,1.0167,normal
182,0.9869,normal
183,1.0105,normal
184,1.0186,normal
185,1.0064,normal
186,1.0091,normal
187,0.9996,normal
188,0.9887,normal
189,0.9986,normal
190,1.0092,normal
191,1.0094,normal
192,0.9946,normal
193,0.9855,normal
194,0.991,normal
195,0.9882,normal
196,0.9874,normal
197,0.9967,normal
198,1.0037,normal
199,1.0085,normal
200,1.0064,normal
201,1.0011,normal
202,1.0179,normal
203,1.019,normal
204,0.9922,normal
205,1.0087,normal
206,0.9982,normal
207,0.9961,normal
208,1.0166,normal
209,1.0094,normal
210,0.9914,normal
211,0.9888,normal
212,1.0164,normal
213,1.0151,normal
214,1.0129,normal
215,0.9934,normal
216,0.9879,normal
217,1.0199,normal
218,1.0024,normal
219,1.0195,normal
220,1.0108,normal
221,1.017,normal
222,0.9898,normal
223,0.9818,normal
224,0.9938,normal
225,1.0066,normal
226,1.0063,normal
227,1.0124,normal
228,1.0197,normal
229,0.992,normal
230,1.0065,normal
231,1.0088,normal
232,0.9946,normal
233,0.9927,normal
234,1.012,normal
235,0.9845,normal
236,1.0122,normal
237,1.0042,normal
238,1.0114,normal
239,0.9921,normal
240,0.9828,normal
241,1.0163,normal
242,0.9831,normal
243,0.9831,normal
244,0.9862,normal
245,0.9963,normal
246,0.986,normal
247,1.0073,normal
248,1.0105,normal
249,0.9817,normal
250,1.0178,normal
251,0.9951,normal
252,1.0032,normal
253,0.9858,normal
254,0.9964,normal
255,1.0026,normal
256,0.9981,normal
257,0.9813,normal
258,1.0058,normal
259,0.9809,normal
260,0.9826,normal
261,0.9949,normal
262,0.9869,normal
263,0.9867,normal
264,2.7963,pothole
265,2.8128,pothole
266,0.2812,pothole
267,1.3934,pothole
268,1.1136,pothole
