imu_now,imu_mean,imu_std,imu_max,imu_min,imu_range,imu_max_diff,imu_mean_diff,imu_rate,label
1.0405,1.0122,0.0145,1.0405,0.9908,0.0497,0.0206,0.01,0.0153,braking
1.0608,1.0431,0.0124,1.0635,1.026,0.0375,0.0137,0.0089,0.011,braking
0.998,1.1007,0.5793,2.7122,0.2754,2.4368,2.4368,0.5514,0.7225,pothole
1.0014,1.056,0.3609,2.0386,0.4955,1.5431,1.5431,0.3468,0.5059,pothole
1.0147,1.0049,0.0109,1.0213,0.988,0.0332,0.0254,0.0119,0.0055,normal
0.9632,0.9883,0.0117,1.0056,0.9632,0.0424,0.0194,0.009,-0.0194,braking
1.018,1.0025,0.0146,1.0225,0.9787,0.0439,0.0393,0.0177,0.0393,normal
0.9723,0.9957,0.0148,1.0154,0.9723,0.0431,0.02,0.0062,-0.0065,braking
1.0051,1.0046,0.0114,1.0249,0.9917,0.0332,0.0332,0.0155,0.0089,normal
0.9954,1.0033,0.0111,1.0259,0.9882,0.0377,0.0304,0.0143,-0.0304,normal
1.0071,1.4397,0.2885,1.7732,0.9645,0.8087,0.2905,0.175,-0.2611,speed_hump
1.0216,1.3572,0.2193,1.6149,1.011,0.6039,0.2089,0.133,-0.18,speed_hump
1.0289,1.0163,0.0127,1.0437,0.9943,0.0493,0.0306,0.0117,-0.0148,braking
1.0097,0.9941,0.0118,1.0097,0.9764,0.0334,0.0315,0.0129,0.0019,normal
0.9886,1.0696,0.3798,2.1444,0.5758,1.5686,1.5686,0.3626,0.4128,pothole
1.0046,0.9917,0.015,1.0167,0.967,0.0496,0.0385,0.0168,0.0092,normal
0.9961,1.1034,0.5164,2.5798,0.4746,2.1052,2.1052,0.4766,0.5215,pothole
0.9942,1.006,0.0134,1.0236,0.9873,0.0363,0.0305,0.0156,0.0031,normal
1.0167,1.1513,0.6556,3.0644,0.4863,2.5782,2.5782,0.5838,0.5304,pothole
1.011,0.9999,0.0093,1.012,0.9853,0.0267,0.0202,0.0102,-0.001,braking
0.9944,0.9934,0.0092,1.0088,0.9808,0.028,0.0241,0.0118,-0.0032,normal
1.0273,1.0107,0.013,1.0273,0.981,0.0463,0.0184,0.008,0.0122,braking
1.0017,1.0065,0.0102,1.026,0.9902,0.0358,0.02,0.0096,-0.0087,normal
0.9996,1.2651,0.164,1.4621,0.9996,0.4626,0.1664,0.1013,-0.1457,speed_hump
1.0109,1.0674,0.3753,2.129,0.5774,1.5516,1.5516,0.356,0.4335,pothole
0.9999,1.4905,0.3005,1.8543,0.9999,0.8544,0.3291,0.1862,-0.3291,speed_hump
1.0023,0.9972,0.0085,1.0105,0.9838,0.0266,0.0203,0.0083,-0.0008,normal
0.9917,0.9962,0.0029,1.0005,0.9917,0.0088,0.0083,0.0034,-0.0083,braking
0.9847,1.2128,0.8432,3.6943,0.4503,3.2441,3.2441,0.7291,0.5344,pothole
1.0388,1.0135,0.0129,1.0388,0.9958,0.0429,0.0249,0.0104,0.0249,braking
1.0084,0.9976,0.0095,1.0115,0.9836,0.0279,0.0248,0.0141,0.0248,normal
1.0112,1.0036,0.0088,1.0151,0.9913,0.0238,0.0238,0.0084,-0.0025,braking
1.0005,1.0027,0.0098,1.0174,0.989,0.0284,0.0284,0.0107,-0.0046,normal
1.0067,1.6568,0.4107,2.1309,1.0063,1.1245,0.3945,0.2499,-0.3945,speed_hump
1.0229,1.6465,0.4054,2.1276,0.9895,1.1381,0.4008,0.2492,-0.3775,speed_hump
0.9731,1.4285,0.2654,1.7571,0.9731,0.784,0.3056,0.1671,-0.3056,speed_hump
1.02,1.0068,0.0145,1.0242,0.984,0.0402,0.0216,0.0103,0.0072,braking
1.0282,1.2455,0.1515,1.4455,1.0121,0.4333,0.1342,0.0945,-0.1268,speed_hump
1.0241,1.0052,0.0127,1.0241,0.9818,0.0423,0.0368,0.0134,0.0162,normal
0.9977,1.6315,0.3959,2.107,0.9977,1.1093,0.3995,0.2457,-0.3847,speed_hump
0.9644,0.9756,0.0142,1.0057,0.9604,0.0452,0.0397,0.013,-0.0051,braking
0.9937,1.0307,0.3915,2.0076,0.2752,1.7323,1.7323,0.3946,0.7185,pothole
0.9831,0.9905,0.0086,1.0038,0.977,0.0267,0.0259,0.0103,-0.0061,normal
1.0221,1.0953,0.5821,2.7058,0.2473,2.4585,2.4585,0.5633,0.7748,pothole
0.9953,1.0,0.0113,1.0177,0.9803,0.0373,0.0249,0.0125,0.015,normal
1.0012,1.1256,0.6746,3.031,0.2365,2.7944,2.7944,0.6322,0.7647,pothole
0.9967,0.9994,0.0089,1.0179,0.9895,0.0284,0.0276,0.0111,-0.0212,normal
0.9803,0.9902,0.0073,1.0021,0.9792,0.0229,0.0229,0.0087,-0.0138,braking
1.0015,1.0012,0.0097,1.0198,0.9859,0.0339,0.024,0.0129,0.0007,normal
1.0067,1.0012,0.01,1.0199,0.9849,0.0351,0.022,0.0113,-0.0087,normal
0.9907,0.9964,0.009,1.0089,0.9795,0.0294,0.0251,0.0094,-0.0029,normal
0.9868,0.9993,0.0111,1.0151,0.9775,0.0376,0.0321,0.017,-0.0209,normal
0.9936,0.9983,0.0108,1.0239,0.9845,0.0394,0.0339,0.0134,0.0091,normal
1.0024,0.9965,0.0137,1.0181,0.9687,0.0494,0.0355,0.021,0.0336,normal
0.994,0.993,0.0107,1.0085,0.9766,0.032,0.0244,0.0156,0.0174,braking
0.9987,1.0058,0.0116,1.0279,0.9851,0.0428,0.0342,0.0181,-0.0128,normal
1.0237,1.0101,0.0104,1.0266,0.9887,0.0379,0.0157,0.0087,0.0117,braking
0.9732,1.6392,0.4098,2.1358,0.9732,1.1626,0.4205,0.255,-0.4205,speed_hump
1.0182,0.9996,0.0132,1.0182,0.9806,0.0377,0.0234,0.0084,0.0099,braking
1.0018,1.221,0.8126,3.6267,0.5628,3.0639,3.0639,0.6888,0.439,pothole
0.9993,0.9999,0.007,1.0142,0.9918,0.0224,0.0156,0.0088,-0.0048,normal
0.9715,0.9899,0.0115,1.0088,0.9715,0.0374,0.012,0.0062,-0.0099,braking
0.9992,0.9992,0.0107,1.0282,0.9898,0.0383,0.0368,0.0107,0.0042,normal
0.9631,1.4822,0.3163,1.8594,0.9631,0.8963,0.3222,0.1934,-0.3222,speed_hump
0.9925,1.4331,0.2712,1.7552,0.9925,0.7627,0.2978,0.1686,-0.2978,speed_hump
