imu_now,imu_1ago,imu_2ago,imu_rate_of_change,motion_score,camera_high,label
1.0069,1.0,1.0,0.0069,0.346,0,normal
0.993,1.0069,1.0,-0.0138,1.0862,0,normal
0.9921,0.993,1.0069,-0.001,1.0049,0,normal
0.9849,0.9921,0.993,-0.0071,1.3674,0,normal
1.0077,0.9849,0.9921,0.0228,0.2307,0,normal
0.9994,1.0077,0.9849,-0.0084,1.1663,0,normal
1.0191,0.9994,1.0077,0.0198,0.031,0,normal
0.999,1.0191,0.9994,-0.0201,0.1257,0,normal
1.0009,0.999,1.0191,0.0018,0.9314,0,normal
0.995,1.0009,0.999,-0.0059,0.3217,0,normal
0.9929,0.995,1.0009,-0.0021,0.019,0,normal
0.9856,0.9929,0.995,-0.0072,0.2521,0,normal
0.996,0.9856,0.9929,0.0104,1.1528,0,normal
0.9824,0.996,0.9856,-0.0136,0.4579,0,normal
0.9972,0.9824,0.996,0.0147,1.0527,0,normal
0.9947,0.9972,0.9824,-0.0024,0.88,0,normal
0.9834,0.9947,0.9972,-0.0113,1.3566,0,normal
1.003,0.9834,0.9947,0.0195,0.8891,0,normal
0.9877,1.003,0.9834,-0.0152,0.3047,0,normal
0.984,0.9877,1.003,-0.0037,1.2622,0,normal
0.9846,0.984,0.9877,0.0006,0.9296,0,normal
1.0052,0.9846,0.984,0.0206,1.1026,0,normal
0.9929,1.0052,0.9846,-0.0123,0.3934,0,normal
1.018,0.9929,1.0052,0.025,0.6474,0,normal
0.9987,1.018,0.9929,-0.0192,0.5041,0,normal
0.9859,0.9987,1.018,-0.0128,0.7259,0,normal
0.9971,0.9859,0.9987,0.0112,1.1333,0,normal
1.0124,0.9971,0.9859,0.0153,0.678,0,normal
1.0161,1.0124,0.9971,0.0037,0.9062,0,normal
1.0093,1.0161,1.0124,-0.0069,1.1067,0,normal
1.0049,1.0093,1.0161,-0.0044,0.5245,0,normal
1.0194,1.0049,1.0093,0.0145,1.2983,0,normal
1.0041,1.0194,1.0049,-0.0153,0.6812,0,normal
0.9867,1.0041,1.0194,-0.0174,1.3659,0,normal
0.9827,0.9867,1.0041,-0.0039,0.9321,0,normal
1.0124,0.9827,0.9867,0.0297,0.1863,0,normal
1.0068,1.0124,0.9827,-0.0057,0.1324,0,normal
1.0024,1.0068,1.0124,-0.0043,1.0129,0,normal
1.0034,1.0024,1.0068,0.001,1.0839,0,normal
1.0049,1.0034,1.0024,0.0015,0.893,0,normal
1.0195,1.0049,1.0034,0.0145,1.0108,0,normal
0.986,1.0195,1.0049,-0.0335,0.3018,0,normal
