frame_index,decision,user_feedback,is_correct,timestamp
89,NORMAL,CORRECT,1,2026-05-27 12:09:32
122,NORMAL,INCORRECT,0,2026-05-27 12:09:36
161,HAZARD,INCORRECT,0,2026-05-27 12:09:42
290,NORMAL,INCORRECT,0,2026-05-27 12:10:03
317,NORMAL,CORRECT,1,2026-05-27 12:10:07
326,NORMAL,CORRECT,1,2026-05-27 12:10:08
331,NORMAL,CORRECT,1,2026-05-27 12:10:09
336,NORMAL,CORRECT,1,2026-05-27 12:10:10
356,NORMAL,CORRECT,1,2026-05-27 12:10:13
361,NORMAL,CORRECT,1,2026-05-27 12:10:14
365,NORMAL,CORRECT,1,2026-05-27 12:10:14
369,NORMAL,CORRECT,1,2026-05-27 12:10:15
373,NORMAL,CORRECT,1,2026-05-27 12:10:16
381,NORMAL,INCORRECT,0,2026-05-27 12:10:17
384,NORMAL,INCORRECT,0,2026-05-27 12:10:17
385,NORMAL,INCORRECT,0,2026-05-27 12:10:18
386,NORMAL,INCORRECT,0,2026-05-27 12:10:18
387,NORMAL,INCORRECT,0,2026-05-27 12:10:18
388,NORMAL,INCORRECT,0,2026-05-27 12:10:18
389,NORMAL,INCORRECT,0,2026-05-27 12:10:18
390,NORMAL,INCORRECT,0,2026-05-27 12:10:18
391,NORMAL,INCORRECT,0,2026-05-27 12:10:19
392,NORMAL,INCORRECT,0,2026-05-27 12:10:19
394,NORMAL,INCORRECT,0,2026-05-27 12:10:19
398,NORMAL,INCORRECT,0,2026-05-27 12:10:20
401,NORMAL,INCORRECT,0,2026-05-27 12:10:20
404,NORMAL,INCORRECT,0,2026-05-27 12:10:21
407,NORMAL,INCORRECT,0,2026-05-27 12:10:21
409,NORMAL,INCORRECT,0,2026-05-27 12:10:21
415,NORMAL,INCORRECT,0,2026-05-27 12:10:22
420,NORMAL,INCORRECT,0,2026-05-27 12:10:23
448,NORMAL,CORRECT,1,2026-05-27 12:10:28
450,NORMAL,CORRECT,1,2026-05-27 12:10:28
452,NORMAL,CORRECT,1,2026-05-27 12:10:28
454,NORMAL,CORRECT,1,2026-05-27 12:10:29
456,NORMAL,CORRECT,1,2026-05-27 12:10:29
459,NORMAL,CORRECT,1,2026-05-27 12:10:29
461,NORMAL,CORRECT,1,2026-05-27 12:10:30
462,NORMAL,CORRECT,1,2026-05-27 12:10:30
464,NORMAL,INCORRECT,0,2026-05-27 12:10:30
467,NORMAL,INCORRECT,0,2026-05-27 12:10:31
469,NORMAL,INCORRECT,0,2026-05-27 12:10:31
