timestamp,imu_z,motion_score,decision,motor_speed,confidence
15:09:31.438,0.46,0,NORMAL,100,87.0%
15:09:31.504,0.43,0.0,NORMAL,100,100.0%
15:09:31.528,0.45,0.0,NORMAL,100,100.0%
15:09:31.558,0.45,0.0,NORMAL,100,100.0%
15:09:31.613,0.47,0.0,NORMAL,100,100.0%
15:09:31.673,0.44,0.0,NORMAL,100,100.0%
15:09:31.733,0.45,0.0,NORMAL,100,100.0%
15:09:31.796,0.44,0.0,NORMAL,100,100.0%
15:09:31.820,0.46,0.0,NORMAL,100,100.0%
15:09:31.856,0.46,0.0,NORMAL,100,100.0%
15:09:31.904,0.45,0.0,NORMAL,100,100.0%
15:09:31.965,0.45,0.0,NORMAL,100,100.0%
15:09:32.014,0.45,0.0,NORMAL,100,100.0%
15:09:32.062,0.44,0.0,NORMAL,100,100.0%
15:09:32.111,0.45,0.0,NORMAL,100,100.0%
15:09:32.159,0.45,252.4,NORMAL,30,59.0%
15:09:32.207,0.45,1.24,NORMAL,100,100.0%
15:09:32.255,0.45,0.0,NORMAL,100,100.0%
15:09:32.319,0.45,0.0,NORMAL,100,100.0%
15:09:32.368,0.44,0.0,NORMAL,100,100.0%
15:09:32.414,0.44,4.5,NORMAL,30,59.0%
15:09:32.461,0.44,0.0,NORMAL,100,100.0%
15:09:32.511,0.44,0.78,NORMAL,100,100.0%
15:09:32.562,0.44,0.0,NORMAL,100,100.0%
15:09:32.613,0.44,0.0,NORMAL,100,100.0%
15:09:32.671,0.45,0.0,NORMAL,100,100.0%
15:09:32.730,0.44,22.1,NORMAL,30,59.0%
15:09:32.770,0.45,28.35,NORMAL,30,59.0%
15:09:32.820,0.44,7.41,HAZARD,30,59.0%
15:09:32.879,0.43,24.39,HAZARD,30,59.0%
15:09:32.920,0.44,23.8,HAZARD,30,59.0%
15:09:32.961,0.44,31.43,HAZARD,30,59.0%
15:09:33.034,0.43,18.26,HAZARD,30,59.0%
15:09:33.145,0.42,0.0,HAZARD,100,100.0%
15:09:33.212,0.44,6.27,HAZARD,30,59.0%
15:09:33.263,0.45,0.0,HAZARD,100,100.0%
15:09:33.311,0.44,0.0,NORMAL,100,100.0%
15:09:33.345,0.44,0.0,NORMAL,100,100.0%
15:09:33.386,0.42,0.0,NORMAL,100,100.0%
15:09:33.450,0.43,0.0,NORMAL,100,100.0%
15:09:33.492,0.47,0.0,NORMAL,100,100.0%
15:09:33.540,0.44,0.0,NORMAL,100,100.0%
15:09:33.589,0.45,0.0,NORMAL,100,100.0%
15:09:33.638,0.41,0.0,NORMAL,100,100.0%
15:09:33.687,0.43,0.0,NORMAL,100,100.0%
15:09:33.738,0.44,0.0,NORMAL,100,100.0%
15:09:33.804,0.44,0.0,NORMAL,100,100.0%
15:09:33.852,0.45,0.0,NORMAL,100,100.0%
15:09:33.908,0.44,0.0,NORMAL,100,100.0%
15:09:33.960,0.43,0.0,NORMAL,100,100.0%
15:09:34.010,0.43,1.22,NORMAL,100,100.0%
15:09:34.067,0.44,10.49,NORMAL,30,59.0%
15:09:34.104,0.43,21.46,NORMAL,30,59.0%
15:09:34.157,0.45,18.52,HAZARD,30,59.0%
15:09:34.210,0.43,11.43,HAZARD,30,59.0%
15:09:34.269,0.43,27.53,HAZARD,30,59.0%
15:09:34.321,0.43,40.3,HAZARD,30,59.0%
15:09:34.359,0.41,59.32,HAZARD,30,59.0%
15:09:34.403,0.44,30.22,HAZARD,30,59.0%
15:09:34.443,0.42,89.33,HAZARD,30,59.0%
15:09:34.505,0.45,48.13,HAZARD,30,59.0%
15:09:34.559,0.42,38.01,HAZARD,30,56.0%
15:09:34.605,0.43,66.14,HAZARD,30,59.0%
15:09:34.652,0.43,14.15,HAZARD,30,59.0%
15:09:34.709,0.43,3.96,HAZARD,30,59.0%
15:09:34.777,0.44,13.24,HAZARD,30,59.0%
15:09:34.853,0.43,32.18,HAZARD,30,59.0%
15:09:35.304,0.43,33.67,HAZARD,30,59.0%
15:09:35.695,0.41,17.54,HAZARD,30,59.0%
15:09:35.820,0.43,90.94,HAZARD,30,59.0%
15:09:35.869,0.42,83.3,HAZARD,30,59.0%
15:09:35.929,0.43,2.07,HAZARD,30,41.0%
15:09:36.006,0.42,0.0,HAZARD,100,100.0%
15:09:36.060,0.43,0.0,HAZARD,100,100.0%
15:09:36.141,0.42,0.0,NORMAL,100,100.0%
15:09:36.204,0.43,0.0,NORMAL,100,100.0%
15:09:36.254,0.42,0.0,NORMAL,100,100.0%
15:09:36.332,0.42,6.89,NORMAL,30,59.0%
15:09:36.411,0.42,9.21,NORMAL,30,59.0%
15:09:36.675,0.42,11.78,HAZARD,30,59.0%
15:09:36.787,0.43,21.54,HAZARD,30,59.0%
15:09:36.844,0.43,116.09,HAZARD,30,59.0%
15:09:36.892,0.43,41.34,HAZARD,30,59.0%
15:09:36.954,0.43,45.06,HAZARD,30,59.0%
15:09:37.008,0.43,45.84,HAZARD,30,59.0%
15:09:37.057,0.43,22.77,HAZARD,30,59.0%
15:09:37.129,0.42,17.12,HAZARD,30,59.0%
15:09:37.189,0.43,83.09,HAZARD,30,59.0%
15:09:37.238,0.43,104.05,HAZARD,30,59.0%
15:09:37.288,0.41,88.21,HAZARD,30,59.0%
15:09:37.340,0.44,33.45,HAZARD,30,59.0%
15:09:37.399,0.43,0.64,HAZARD,100,100.0%
15:09:37.463,0.42,24.31,HAZARD,30,59.0%
15:09:37.513,0.43,147.56,HAZARD,30,59.0%
15:09:37.561,0.42,98.89,HAZARD,30,59.0%
15:09:37.618,0.43,142.45,HAZARD,30,59.0%
15:09:37.674,0.43,116.82,HAZARD,30,59.0%
15:09:37.725,0.42,56.64,HAZARD,30,59.0%
15:09:37.778,0.42,126.27,HAZARD,30,59.0%
15:09:37.838,0.42,68.3,HAZARD,30,59.0%
15:09:37.890,0.41,150.24,HAZARD,30,59.0%
15:09:37.941,0.43,32.34,HAZARD,30,59.0%
15:09:37.996,0.42,115.03,HAZARD,30,59.0%
15:09:38.059,0.43,60.6,HAZARD,30,59.0%
15:09:38.104,0.43,90.14,HAZARD,30,59.0%
15:09:38.145,0.42,28.77,HAZARD,30,59.0%
15:09:38.204,0.41,80.69,HAZARD,30,59.0%
15:09:39.088,0.42,63.59,HAZARD,30,59.0%
15:09:39.143,0.42,30.75,HAZARD,30,59.0%
15:09:39.206,0.43,217.69,HAZARD,30,59.0%
15:09:39.267,0.42,61.2,HAZARD,30,59.0%
15:09:39.330,0.44,26.92,HAZARD,30,59.0%
15:09:39.393,0.41,0.0,HAZARD,100,100.0%
15:09:39.462,0.41,0.0,HAZARD,100,100.0%
15:09:39.523,0.41,39.48,HAZARD,30,59.0%
15:09:39.588,0.42,36.92,HAZARD,30,59.0%
15:09:39.644,0.42,27.4,HAZARD,30,59.0%
15:09:39.743,0.42,64.8,HAZARD,30,59.0%
15:09:39.796,0.43,20.56,HAZARD,30,59.0%
15:09:39.868,0.42,186.18,HAZARD,30,59.0%
15:09:39.922,0.41,220.53,HAZARD,30,59.0%
15:09:39.990,0.42,220.56,HAZARD,30,59.0%
15:09:40.056,0.42,162.18,HAZARD,30,59.0%
15:09:40.123,0.43,105.53,HAZARD,30,59.0%
15:09:40.205,0.41,212.01,HAZARD,30,59.0%
15:09:40.262,0.41,153.87,HAZARD,30,59.0%
15:09:40.330,0.42,128.46,HAZARD,30,59.0%
15:09:40.395,0.41,126.51,HAZARD,30,59.0%
15:09:40.441,0.42,168.06,HAZARD,30,59.0%
15:09:40.494,0.42,280.81,HAZARD,30,59.0%
15:09:40.544,0.42,58.5,HAZARD,30,59.0%
15:09:40.607,0.41,120.53,HAZARD,30,59.0%
15:09:40.657,0.41,165.49,HAZARD,30,59.0%
15:09:40.713,0.45,237.94,HAZARD,30,59.0%
15:09:40.786,0.42,207.74,HAZARD,30,56.0%
15:09:40.844,0.42,189.55,HAZARD,30,59.0%
15:09:40.897,0.41,152.05,HAZARD,30,59.0%
15:09:40.971,0.42,218.09,HAZARD,30,59.0%
15:09:41.029,0.42,210.77,HAZARD,30,59.0%
15:09:41.108,0.42,217.68,HAZARD,30,59.0%
15:09:41.160,0.41,191.66,HAZARD,30,59.0%
15:09:41.212,0.42,194.06,HAZARD,30,59.0%
15:09:41.344,0.41,83.06,HAZARD,30,59.0%
15:09:41.409,0.42,219.99,HAZARD,30,59.0%
15:09:41.459,0.42,249.42,HAZARD,30,59.0%
15:09:41.513,0.42,198.15,HAZARD,30,59.0%
15:09:42.069,0.42,222.01,HAZARD,30,59.0%
15:09:42.346,0.42,264.96,HAZARD,30,59.0%
15:09:42.410,0.42,203.47,HAZARD,30,59.0%
15:09:42.458,0.42,205.74,HAZARD,30,59.0%
15:09:42.508,0.42,200.8,HAZARD,30,59.0%
15:09:42.562,0.42,127.29,HAZARD,30,59.0%
15:09:42.626,0.42,108.35,HAZARD,30,59.0%
15:09:42.677,0.42,179.55,HAZARD,30,59.0%
15:09:42.728,0.42,112.05,HAZARD,30,59.0%
15:09:42.788,0.42,95.21,HAZARD,30,59.0%
15:09:42.841,0.42,20.63,HAZARD,30,59.0%
15:09:42.894,0.41,80.87,HAZARD,30,59.0%
15:09:42.961,0.42,137.04,HAZARD,30,59.0%
15:09:43.027,0.43,18.89,HAZARD,30,59.0%
15:09:43.091,0.42,52.12,HAZARD,30,59.0%
15:09:43.246,0.43,14.65,HAZARD,30,59.0%
15:09:43.306,0.41,23.26,HAZARD,30,59.0%
15:09:43.378,0.41,220.47,HAZARD,30,59.0%
15:09:43.429,0.41,165.76,HAZARD,30,59.0%
15:09:43.495,0.41,150.25,HAZARD,30,59.0%
15:09:43.553,0.41,157.62,HAZARD,30,59.0%
15:09:43.626,0.42,77.94,HAZARD,30,59.0%
15:09:43.682,0.42,45.19,HAZARD,30,59.0%
15:09:43.742,0.42,12.22,HAZARD,30,59.0%
15:09:43.808,0.41,170.26,HAZARD,30,59.0%
15:09:43.861,0.41,142.59,HAZARD,30,59.0%
15:09:43.921,0.41,120.05,HAZARD,30,59.0%
15:09:43.980,0.42,47.35,HAZARD,30,59.0%
15:09:44.044,0.41,138.69,HAZARD,30,59.0%
15:09:44.091,0.42,170.53,HAZARD,30,59.0%
15:09:44.152,0.4,21.01,HAZARD,30,59.0%
15:09:44.218,0.43,53.42,HAZARD,30,59.0%
15:09:44.482,0.42,169.2,HAZARD,30,59.0%
15:09:44.535,0.41,197.33,HAZARD,30,59.0%
15:09:44.606,0.42,268.57,HAZARD,30,59.0%
15:09:45.476,0.42,132.34,HAZARD,30,59.0%
15:09:45.653,0.41,90.3,HAZARD,30,59.0%
15:09:45.702,0.41,255.3,HAZARD,30,59.0%
15:09:45.755,0.41,131.84,HAZARD,30,59.0%
15:09:45.809,0.41,75.0,HAZARD,30,59.0%
15:09:45.860,0.42,80.68,HAZARD,30,59.0%
15:09:46.020,0.42,106.73,HAZARD,30,59.0%
15:09:46.076,0.42,76.84,HAZARD,30,59.0%
15:09:46.130,0.42,125.36,HAZARD,30,59.0%
15:09:46.187,0.41,33.38,HAZARD,30,59.0%
15:09:46.238,0.41,86.37,HAZARD,30,59.0%
15:09:46.288,0.41,107.42,HAZARD,30,59.0%
15:09:46.341,0.42,100.33,HAZARD,30,59.0%
15:09:46.403,0.41,133.71,HAZARD,30,59.0%
15:09:46.454,0.41,68.38,HAZARD,30,59.0%
15:09:46.507,0.42,119.76,HAZARD,30,59.0%
15:09:46.559,0.41,127.49,HAZARD,30,59.0%
15:09:46.610,0.42,91.49,HAZARD,30,59.0%
15:09:46.758,0.41,138.44,HAZARD,30,59.0%
15:09:46.826,0.42,80.98,HAZARD,30,59.0%
15:09:46.893,0.42,208.91,HAZARD,30,59.0%
15:09:46.958,0.41,35.91,HAZARD,30,59.0%
15:09:47.020,0.41,66.71,HAZARD,30,59.0%
15:09:47.076,0.41,31.95,HAZARD,30,59.0%
15:09:47.132,0.41,0.0,HAZARD,100,100.0%
